,X Coordinate,Y Coordinate,Young's Modulus [Pa]
1049,-3718.422251769013,547.1985761896981,6946.27
1051,-3718.4100526613,554.8230185106727,2830.3
1052,-3718.405986292062,558.637272855779,3141.41
1056,-3714.766585824183,451.8869476236532,2939.47
1057,-3714.758453085708,455.70120196876,1028.01
1058,-3714.7543867164695,459.51138994462826,1706.38
1059,-3714.746253977994,463.32564428973456,656.906
1060,-3714.742187608756,467.1358322656033,4063.11
1061,-3714.734054870281,470.95008661071006,9361.07
1062,-3714.7299885010425,474.7602745865784,1650.29
1063,-3714.721855762567,478.5745289316847,809.01
1064,-3714.713723024091,482.3847169075534,1852.07
1065,-3714.7096566548535,486.19897125266016,3562.91
1077,-3714.636462008572,531.94562517851,3327.19
1078,-3714.628329270096,535.7558131543783,4281.44
1082,-3714.603931054669,551.0046977963284,2083.07
1083,-3714.599864685432,554.8189521414351,2865.96
1084,-3714.5917319469554,558.6291401173035,1544.24
1088,-3710.9523314790767,451.8828812544157,1117.34
1089,-3710.948265109839,455.693069230284,1478.95
1090,-3710.9401323713632,459.5073235753903,6467.91
1091,-3710.936066002125,463.31751155125903,884.638
1092,-3710.9279332636497,467.1317658963658,2125.19
1093,-3710.923866894412,470.9419538722341,335.438
1095,-3710.911667786698,478.56639619320913,6372.88
1096,-3710.903535048223,482.3806505383154,2425.25
1097,-3710.8954023097463,486.1908385141842,112.063
1106,-3710.842539509655,520.5028621431907,1770.32
1108,-3710.830340401941,528.1273044641657,6558.21
1109,-3710.8222076634656,531.9374924400345,2265.43
1110,-3710.818141294228,535.7517467851408,1317.07
1120,-3707.142143503208,451.87474851594015,4866.88
1121,-3707.134010764733,455.6890028610465,1691.44
1122,-3707.129944395495,459.4991908369148,1381.01
1123,-3707.121811657019,463.313445182021,1244.39
1124,-3707.117745287781,467.1236331578898,887.609
1127,-3707.097413441592,478.5623298239712,3852.65
1128,-3707.089280703116,482.3725177998399,1030.94
1130,-3707.0770815954015,489.99696012081495,195.419
1150,-3706.955090518267,566.241383330565,7113.0
1151,-3706.951024149029,570.0556376756717,2872.67
1152,-3703.3278891581017,451.87068214670217,1967.24
